Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.9,.25,.75,.5,.2,.05,5.596
.95,.25,.75,.5,.2,.05,5.377
1.0,.25,.75,.5,.2,.05,5.287
1.0,.2,.75,.5,.2,.05,5.234
1.0,.2,.75,.55,.2,.05,5.152
1.0,.15,.75,.55,.2,.05,5.139
1.0,.1,.75,.55,.2,.05,5.13
1.0,.1,.75,.55,.15,.05,5.053
1.0,.1,.7,.55,.15,.05,5.04
1.0,.05,.7,.55,.15,.05,5.078
1.0,.05,.7,.55,.2,.05,5.046
1.0,.05,.7,.6,.2,.05,5.043
1.0,.05,.7,.6,.15,.05,5.045
1.0,.0,.7,.6,.15,.05,4.981
1.0,.0,.7,.65,.15,.05,4.999
1.0,.0,.7,.65,.15,.0,4.99
1.0,.0,.75,.65,.15,.0,5.003
1.0,.0,.8,.65,.15,.0,5.003
1.0,.0,.8,.65,.15,.05,4.953
1.0,.0,.8,.65,.15,.0,4.955
1.0,.0,.85,.65,.15,.0,4.98
1.0,.0,.85,.65,.2,.0,4.952
1.0,.0,.85,.65,.15,.0,4.997
1.0,.0,.85,.65,.1,.0,4.992
1.0,.0,.9,.65,.1,.0,4.957
1.0,.0,.95,.65,.1,.0,4.978
1.0,.0,.95,.6,.1,.0,4.976
1.0,.0,.9,.6,.1,.0,4.963
1.0,.0,.9,.65,.1,.0,4.96
1.0,.0,.9,.65,.1,.05,4.955
1.0,.0,.95,.65,.1,.05,4.991
1.0,.0,.95,.65,.05,.05,4.954
1.0,.0,.95,.65,.0,.05,4.98
1.0,.0,.95,.65,.0,.0,4.957
1.0,.0,.95,.65,.0,.05,4.939
1.0,.0,1.0,.65,.0,.05,4.938
1.0,.0,1.0,.7,.0,.05,4.947
1.0,.0,1.0,.7,.0,.0,4.96
1.0,.0,1.0,.7,.0,.05,4.929
1.0,.0,1.0,.7,.0,.0,4.965
1.0,.0,1.0,.7,.05,.0,4.959
1.0,.0,.95,.7,.05,.0,4.965
1.0,.0,.95,.7,.1,.0,4.96
1.0,.0,.9,.7,.1,.0,4.972
1.0,.0,.9,.7,.15,.0,4.97
1.0,.0,.85,.7,.15,.0,4.912
1.0,.0,.9,.7,.15,.0,4.974
1.0,.0,.9,.7,.2,.0,4.987
1.0,.0,.95,.7,.2,.0,4.973
1.0,.0,.95,.75,.2,.0,4.978
1.0,.0,1.0,.75,.2,.0,4.965
1.0,.0,.95,.75,.2,.0,4.941
1.0,.0,1.0,.75,.2,.0,4.978
1.0,.0,1.0,.75,.2,.05,4.947
1.0,.0,1.0,.75,.2,.1,4.946
1.0,.0,1.0,.75,.2,.05,4.95
1.0,.0,1.0,.75,.2,.0,4.998
1.0,.0,1.0,.8,.2,.0,4.955
1.0,.0,.95,.8,.2,.0,4.952
1.0,.0,.9,.8,.2,.0,4.952
1.0,.0,.9,.8,.15,.0,4.941
1.0,.0,.95,.8,.15,.0,4.965
1.0,.0,.95,.8,.15,.05,4.938
1.0,.0,.95,.8,.15,.1,4.942
1.0,.0,.95,.85,.15,.1,4.929
1.0,.0,.95,.8,.15,.1,4.973
1.0,.0,.95,.85,.15,.1,4.95
1.0,.0,.95,.85,.2,.1,4.958
1.0,.0,.95,.85,.2,.15,4.961
1.0,.0,1.0,.85,.2,.15,4.979
1.0,.0,1.0,.85,.2,.2,4.926
1.0,.0,1.0,.9,.2,.2,4.961
1.0,.0,1.0,.9,.25,.2,4.962
1.0,.0,1.0,.9,.2,.2,4.928
1.0,.0,1.0,.9,.15,.2,4.958
1.0,.0,1.0,.9,.1,.2,4.975
1.0,.0,1.0,.85,.1,.2,4.961
1.0,.0,1.0,.9,.1,.2,4.971
1.0,.0,1.0,.9,.1,.15,4.986
1.0,.0,1.0,.9,.15,.15,4.978
1.0,.0,1.0,.85,.15,.15,4.982
1.0,.0,1.0,.85,.1,.15,4.949
1.0,.0,1.0,.9,.1,.15,4.955
1.0,.0,1.0,.9,.1,.1,4.948
1.0,.0,1.0,.85,.1,.1,4.941
1.0,.0,1.0,.85,.1,.15,4.95
1.0,.0,.95,.85,.1,.15,4.958
1.0,.0,.95,.85,.1,.2,4.968
1.0,.0,.95,.85,.05,.2,4.969
1.0,.0,.95,.8,.05,.2,4.966
1.0,.0,.9,.8,.05,.2,4.959
1.0,.0,.95,.8,.05,.2,4.947
1.0,.0,.95,.8,.1,.2,4.965
1.0,.0,1.0,.8,.1,.2,4.962
1.0,.0,1.0,.75,.1,.2,4.975
1.0,.0,1.0,.7,.1,.2,4.94
1.0,.0,1.0,.65,.1,.2,4.962
1.0,.0,1.0,.65,.1,.25,4.96
1.0,.0,1.0,.65,.1,.2,4.933
1.0,.0,1.0,.7,.1,.2,4.963
1.0,.0,1.0,.7,.15,.2,4.968
1.0,.0,.95,.7,.15,.2,4.926
1.0,.0,.95,.65,.15,.2,4.973
1.0,.0,.9,.65,.15,.2,4.971
1.0,.0,.9,.65,.2,.2,4.978
1.0,.0,.9,.65,.25,.2,4.958
1.0,.0,.9,.7,.25,.2,4.973
