Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.75,.2,.45,.05,.85,.3,7.827
.8,.2,.45,.05,.85,.3,7.633
.8,.2,.45,.1,.85,.3,7.369
.85,.2,.45,.1,.85,.3,7.163
.85,.15,.45,.1,.85,.3,6.847
.9,.15,.45,.1,.85,.3,6.708
.9,.1,.45,.1,.85,.3,6.527
.9,.05,.45,.1,.85,.3,6.245
.9,.0,.45,.1,.85,.3,5.439
.9,.0,.5,.1,.85,.3,5.319
.9,.0,.55,.1,.85,.3,5.311
.95,.0,.55,.1,.85,.3,5.255
1.0,.0,.55,.1,.85,.3,5.163
1.0,.0,.55,.1,.85,.35,5.098
1.0,.0,.5,.1,.85,.35,5.038
1.0,.0,.5,.1,.85,.4,5.088
1.0,.0,.55,.1,.85,.4,5.075
1.0,.0,.55,.05,.85,.4,5.079
1.0,.0,.55,.05,.8,.4,5.082
1.0,.0,.6,.05,.8,.4,5.083
1.0,.0,.6,.05,.85,.4,5.046
1.0,.0,.6,.05,.85,.45,5.043
1.0,.0,.65,.05,.85,.45,5.037
1.0,.0,.7,.05,.85,.45,5.037
1.0,.0,.75,.05,.85,.45,5.024
1.0,.0,.8,.05,.85,.45,5.03
1.0,.0,.85,.05,.85,.45,4.997
1.0,.0,.85,.05,.85,.4,4.997
1.0,.0,.8,.05,.85,.4,5.032
1.0,.0,.8,.05,.9,.4,5.03
1.0,.0,.8,.05,.85,.4,5.035
1.0,.0,.8,.05,.9,.4,5.003
1.0,.0,.8,.05,.9,.35,5.01
1.0,.0,.8,.05,.9,.4,5.01
1.0,.0,.8,.05,.9,.35,5.009
1.0,.0,.8,.05,.95,.35,5.003
1.0,.0,.75,.05,.95,.35,5.005
1.0,.0,.8,.05,.95,.35,5.028
1.0,.0,.8,.05,.95,.4,5.024
1.0,.0,.8,.05,.9,.4,5.025
1.0,.0,.8,.05,.85,.4,5.01
1.0,.0,.8,.05,.9,.4,5.022
1.0,.0,.8,.05,.9,.45,5.035
1.0,.0,.8,.05,.9,.4,5.013
1.0,.0,.8,.05,.95,.4,5.008
1.0,.0,.8,.05,.95,.35,4.994
1.0,.0,.8,.05,.95,.3,5.02
1.0,.0,.8,.1,.95,.3,5.022
1.0,.0,.8,.1,.95,.25,5.003
1.0,.0,.8,.05,.95,.25,4.992
1.0,.0,.8,.05,.95,.2,5.011
1.0,.0,.85,.05,.95,.2,4.987
1.0,.0,.85,.05,1.0,.2,4.992
1.0,.0,.85,.05,1.05,.2,4.957
1.0,.0,.85,.05,1.05,.15,4.992
1.0,.0,.9,.05,1.05,.15,4.967
1.0,.0,.9,.05,1.05,.2,4.971
1.0,.0,.9,.05,1.1,.2,4.976
1.0,.0,.9,.1,1.1,.2,4.969
1.0,.0,.9,.1,1.05,.2,4.97
1.0,.0,.9,.1,1.1,.2,4.963
1.0,.0,.95,.1,1.1,.2,4.981
1.0,.0,.95,.05,1.1,.2,4.931
1.0,.0,.95,.05,1.05,.2,4.945
1.0,.0,.95,.05,1.05,.15,4.976
1.0,.0,.95,.05,1.0,.15,4.963
1.0,.0,.95,.05,1.0,.1,4.939
1.0,.0,.95,.1,1.0,.1,4.936
1.0,.0,.95,.1,1.0,.15,4.971
1.0,.0,.95,.15,1.0,.15,4.975
1.0,.0,.9,.15,1.0,.15,4.926
1.0,.0,.9,.15,1.0,.1,4.968
