Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.65,.3,.85,.4,.05,.9,7.577
.7,.3,.85,.4,.05,.9,7.301
.75,.3,.85,.4,.05,.9,6.976
.8,.3,.85,.4,.05,.9,6.925
.85,.3,.85,.4,.05,.9,6.593
.9,.3,.85,.4,.05,.9,6.348
.95,.3,.85,.4,.05,.9,6.245
1.0,.3,.85,.4,.05,.9,5.987
1.0,.3,.85,.45,.05,.9,5.945
1.0,.3,.9,.45,.05,.9,5.941
1.0,.3,.85,.45,.05,.9,5.947
1.0,.3,.85,.45,.05,.95,5.949
1.0,.25,.85,.45,.05,.95,5.87
1.0,.25,.9,.45,.05,.95,5.917
1.0,.25,.95,.45,.05,.95,5.91
1.0,.2,.95,.45,.05,.95,5.851
1.0,.15,.95,.45,.05,.95,5.835
1.0,.1,.95,.45,.05,.95,5.797
1.0,.05,.95,.45,.05,.95,5.764
1.0,.0,.95,.45,.05,.95,5.163
1.0,.0,.95,.45,.05,1.0,5.096
1.0,.0,.95,.5,.05,1.0,5.067
1.0,.0,1.0,.5,.05,1.0,5.081
1.0,.0,1.0,.5,.1,1.0,5.107
1.0,.0,1.0,.5,.15,1.0,5.066
1.0,.0,1.0,.5,.2,1.0,5.111
1.0,.0,1.0,.55,.2,1.0,5.081
1.0,.0,1.0,.5,.2,1.0,5.078
1.0,.0,1.0,.5,.15,1.0,5.109
1.0,.0,1.0,.55,.15,1.0,5.119
1.0,.0,1.0,.6,.15,1.0,5.089
1.0,.0,1.0,.6,.2,1.0,5.095
1.0,.0,1.0,.6,.15,1.0,5.112
1.0,.0,1.0,.55,.15,1.0,5.112
1.0,.0,1.0,.55,.2,1.0,5.087
1.0,.0,1.0,.55,.15,1.0,5.104
1.0,.0,1.0,.55,.2,1.0,5.116
1.0,.0,1.0,.55,.25,1.0,5.091
1.0,.0,1.0,.55,.25,.95,5.091
1.0,.0,1.0,.55,.3,.95,5.103
1.0,.0,1.0,.55,.35,.95,5.075
