Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.95,.4,.3,.55,.95,.15,6.135
.95,.4,.3,.55,.95,.1,5.837
1.0,.4,.3,.55,.95,.1,5.643
1.0,.4,.3,.55,.95,.05,5.461
1.0,.35,.3,.55,.95,.05,5.364
1.0,.3,.3,.55,.95,.05,5.429
1.0,.3,.3,.55,.9,.05,5.351
1.0,.25,.3,.55,.9,.05,5.336
1.0,.2,.3,.55,.9,.05,5.306
1.0,.2,.3,.6,.9,.05,5.245
1.0,.15,.3,.6,.9,.05,5.172
1.0,.1,.3,.6,.9,.05,5.186
1.0,.1,.25,.6,.9,.05,5.197
1.0,.1,.25,.6,.9,.1,5.16
1.0,.1,.3,.6,.9,.1,5.231
1.0,.1,.3,.6,.95,.1,5.147
1.0,.1,.3,.65,.95,.1,5.16
1.0,.1,.3,.65,.9,.1,5.229
1.0,.1,.3,.65,.9,.05,5.153
1.0,.1,.3,.6,.9,.05,5.168
1.0,.1,.35,.6,.9,.05,5.204
1.0,.1,.35,.55,.9,.05,5.16
1.0,.1,.35,.55,.9,.0,5.199
1.0,.1,.35,.55,.85,.0,5.147
1.0,.1,.35,.55,.9,.0,5.135
1.0,.1,.35,.5,.9,.0,5.152
1.0,.1,.35,.5,.85,.0,5.145
1.0,.1,.35,.5,.8,.0,5.161
1.0,.1,.4,.5,.8,.0,5.126
1.0,.05,.4,.5,.8,.0,5.165
1.0,.0,.4,.5,.8,.0,5.118
1.0,.0,.45,.5,.8,.0,5.093
1.0,.0,.5,.5,.8,.0,5.096
1.0,.0,.55,.5,.8,.0,5.047
1.0,.0,.55,.5,.85,.0,5.05
1.0,.0,.55,.5,.8,.0,5.042
1.0,.0,.55,.55,.8,.0,5.062
1.0,.0,.6,.55,.8,.0,5.002
1.0,.0,.6,.55,.75,.0,5.022
1.0,.0,.6,.55,.8,.0,5.045
1.0,.0,.55,.55,.8,.0,5.031
1.0,.0,.6,.55,.8,.0,5.033
1.0,.0,.6,.6,.8,.0,4.987
1.0,.0,.6,.55,.8,.0,5.056
1.0,.0,.6,.6,.8,.0,5.018
1.0,.0,.6,.65,.8,.0,5.022
1.0,.0,.65,.65,.8,.0,4.99
1.0,.0,.65,.65,.8,.05,5.006
1.0,.0,.65,.65,.85,.05,5.013
1.0,.0,.7,.65,.85,.05,5.002
1.0,.0,.7,.65,.8,.05,5.003
1.0,.0,.75,.65,.8,.05,4.981
1.0,.0,.8,.65,.8,.05,4.979
1.0,.0,.8,.7,.8,.05,5.0
1.0,.0,.85,.7,.8,.05,4.959
1.0,.0,.85,.7,.8,.0,4.994
1.0,.0,.85,.65,.8,.0,4.978
1.0,.0,.85,.65,.75,.0,4.952
1.0,.0,.9,.65,.75,.0,4.959
1.0,.0,.9,.7,.75,.0,4.937
1.0,.0,.9,.7,.7,.0,4.953
1.0,.0,.9,.7,.7,.05,4.96
1.0,.0,.9,.7,.75,.05,4.957
1.0,.0,.9,.7,.8,.05,4.963
1.0,.0,.85,.7,.8,.05,4.979
1.0,.0,.85,.7,.75,.05,4.974
1.0,.0,.9,.7,.75,.05,4.971
1.0,.0,.95,.7,.75,.05,4.985
1.0,.0,.95,.7,.75,.0,4.975
1.0,.0,.95,.7,.8,.0,4.952
1.0,.0,.95,.7,.8,.05,4.977
1.0,.0,.95,.7,.8,.1,4.946
1.0,.0,.95,.75,.8,.1,4.973
1.0,.0,.95,.75,.75,.1,4.947
1.0,.0,.95,.75,.8,.1,4.967
1.0,.0,1.0,.75,.8,.1,4.989
1.0,.0,.95,.75,.8,.1,4.979
1.0,.0,.95,.75,.75,.1,4.945
