Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.95,.5,.25,.35,.55,.3,6.716
1.0,.5,.25,.35,.55,.3,6.444
1.0,.45,.25,.35,.55,.3,6.441
1.0,.4,.25,.35,.55,.3,6.394
1.0,.4,.25,.35,.5,.3,6.321
1.0,.4,.2,.35,.5,.3,6.277
1.0,.4,.2,.4,.5,.3,6.284
1.0,.4,.25,.4,.5,.3,6.225
1.0,.4,.25,.45,.5,.3,6.296
1.0,.45,.25,.45,.5,.3,6.188
1.0,.45,.25,.45,.45,.3,6.261
1.0,.45,.25,.45,.45,.25,6.255
1.0,.45,.25,.5,.45,.25,6.243
1.0,.4,.25,.5,.45,.25,6.204
1.0,.35,.25,.5,.45,.25,6.199
1.0,.3,.25,.5,.45,.25,6.151
1.0,.3,.25,.5,.45,.2,6.096
1.0,.3,.25,.5,.45,.15,5.744
1.0,.3,.25,.5,.45,.1,5.556
1.0,.3,.25,.5,.45,.05,5.341
1.0,.25,.25,.5,.45,.05,5.347
1.0,.2,.25,.5,.45,.05,5.254
1.0,.2,.2,.5,.45,.05,5.242
1.0,.2,.25,.5,.45,.05,5.291
1.0,.2,.25,.55,.45,.05,5.242
1.0,.2,.3,.55,.45,.05,5.28
1.0,.2,.25,.55,.45,.05,5.276
1.0,.15,.25,.55,.45,.05,5.258
1.0,.15,.25,.5,.45,.05,5.232
1.0,.15,.3,.5,.45,.05,5.239
1.0,.1,.3,.5,.45,.05,5.21
1.0,.1,.3,.45,.45,.05,5.175
1.0,.1,.3,.45,.4,.05,5.178
1.0,.1,.35,.45,.4,.05,5.194
1.0,.1,.35,.5,.4,.05,5.197
1.0,.1,.4,.5,.4,.05,5.141
1.0,.1,.45,.5,.4,.05,5.162
1.0,.1,.45,.55,.4,.05,5.138
1.0,.1,.45,.55,.4,.0,5.12
1.0,.1,.5,.55,.4,.0,5.112
1.0,.1,.55,.55,.4,.0,5.111
1.0,.05,.55,.55,.4,.0,5.085
1.0,.05,.55,.55,.35,.0,5.063
1.0,.05,.55,.55,.4,.0,5.085
1.0,.0,.55,.55,.4,.0,5.035
1.0,.0,.55,.55,.4,.05,5.007
1.0,.0,.55,.6,.4,.05,5.023
1.0,.0,.55,.6,.4,.0,5.067
1.0,.0,.6,.6,.4,.0,5.061
1.0,.0,.6,.55,.4,.0,5.03
1.0,.0,.6,.55,.35,.0,5.008
1.0,.0,.65,.55,.35,.0,5.037
1.0,.0,.65,.55,.35,.05,5.021
1.0,.0,.65,.5,.35,.05,4.967
1.0,.0,.65,.5,.4,.05,4.995
1.0,.0,.7,.5,.4,.05,5.024
1.0,.0,.75,.5,.4,.05,5.003
1.0,.0,.8,.5,.4,.05,4.99
1.0,.0,.85,.5,.4,.05,4.989
1.0,.0,.85,.45,.4,.05,4.97
1.0,.0,.85,.45,.4,.1,4.939
1.0,.0,.85,.45,.45,.1,4.958
1.0,.0,.8,.45,.45,.1,5.002
1.0,.0,.8,.45,.5,.1,4.982
1.0,.0,.8,.45,.5,.05,4.976
1.0,.0,.85,.45,.5,.05,4.992
1.0,.0,.85,.45,.5,.1,4.971
1.0,.0,.85,.4,.5,.1,4.947
