Add C,Add N,Mod Wgt,Diff,Avg. W,Excess,Average generations
.25,.0,.45,.5,.9,.8,9.986
.3,.0,.45,.5,.9,.8,9.193
.35,.0,.45,.5,.9,.8,8.504
.4,.0,.45,.5,.9,.8,8.04
.45,.0,.45,.5,.9,.8,7.737
.5,.0,.45,.5,.9,.8,7.223
.55,.0,.45,.5,.9,.8,6.949
.6,.0,.45,.5,.9,.8,6.532
.65,.0,.45,.5,.9,.8,6.306
.7,.0,.45,.5,.9,.8,6.093
.75,.0,.45,.5,.9,.8,5.973
.8,.0,.45,.5,.9,.8,5.763
.85,.0,.45,.5,.9,.8,5.635
.9,.0,.45,.5,.9,.8,5.5
.95,.0,.45,.5,.9,.8,5.429
1.0,.0,.45,.5,.9,.8,5.236
1.0,.0,.45,.45,.9,.8,5.24
1.0,.0,.5,.45,.9,.8,5.218
1.0,.0,.5,.4,.9,.8,5.217
1.0,.0,.5,.4,.85,.8,5.223
1.0,.0,.55,.4,.85,.8,5.208
1.0,.0,.55,.35,.85,.8,5.185
1.0,.0,.55,.4,.85,.8,5.199
1.0,.0,.55,.4,.85,.85,5.215
1.0,.0,.55,.4,.9,.85,5.157
1.0,.0,.55,.4,.9,.8,5.205
1.0,.0,.55,.45,.9,.8,5.187
1.0,.0,.55,.4,.9,.8,5.186
1.0,.0,.55,.4,.9,.75,5.131
1.0,.0,.55,.4,.9,.8,5.173
1.0,.0,.6,.4,.9,.8,5.189
1.0,.0,.65,.4,.9,.8,5.144
1.0,.0,.65,.4,.95,.8,5.188
1.0,.0,.7,.4,.95,.8,5.168
1.0,.0,.7,.4,.9,.8,5.153
1.0,.0,.7,.4,.85,.8,5.163
1.0,.0,.7,.4,.8,.8,5.159
1.0,.0,.75,.4,.8,.8,5.157
1.0,.0,.75,.4,.85,.8,5.088
1.0,.0,.75,.45,.85,.8,5.122
1.0,.0,.75,.5,.85,.8,5.107
1.0,.0,.75,.5,.85,.75,5.111
1.0,.0,.75,.5,.85,.7,5.109
1.0,.0,.75,.55,.85,.7,5.117
1.0,.0,.75,.55,.85,.75,5.144
1.0,.0,.75,.55,.85,.7,5.104
1.0,.0,.8,.55,.85,.7,5.122
1.0,.0,.8,.55,.85,.75,5.103
1.0,.0,.8,.55,.8,.75,5.106
1.0,.0,.8,.5,.8,.75,5.105
1.0,.0,.8,.5,.75,.75,5.147
1.0,.0,.75,.5,.75,.75,5.093
1.0,.0,.75,.5,.75,.8,5.122
1.0,.0,.75,.5,.75,.75,5.125
1.0,.0,.75,.5,.75,.7,5.133
1.0,.0,.75,.45,.75,.7,5.131
1.0,.0,.8,.45,.75,.7,5.108
1.0,.0,.8,.45,.75,.75,5.09
1.0,.0,.8,.45,.7,.75,5.106
1.0,.0,.8,.45,.65,.75,5.13
1.0,.0,.8,.4,.65,.75,5.132
1.0,.0,.8,.45,.65,.75,5.086
1.0,.0,.8,.5,.65,.75,5.157
1.0,.0,.85,.5,.65,.75,5.058
1.0,.0,.85,.5,.7,.75,5.09
1.0,.0,.9,.5,.7,.75,5.112
1.0,.0,.9,.5,.75,.75,5.104
1.0,.0,.9,.5,.8,.75,5.109
1.0,.0,.9,.55,.8,.75,5.096
1.0,.0,.85,.55,.8,.75,5.114
